only_date,daily_vol
2020-09-14,0.004897223067802673
2020-09-15,0.006611796102058888
2020-09-16,0.004751386123499178
2020-09-17,0.00835052555223739
2020-09-18,0.007339555515796869
2020-09-21,0.00890985485642707
2020-09-22,0.005741363286835465
2020-09-23,0.006952398113818828
2020-09-24,0.01053152290090653
2020-09-25,0.004207613577396541
2020-09-28,0.005960047861055286
2020-09-29,0.0027927100036555384
2020-09-30,0.003003481170526469
2020-10-01,0.003530129400830929
2020-10-02,0.00657481250173491
2020-10-05,0.0037833960825283315
2020-10-06,0.00300214986213358
2020-10-07,0.0030384309668326104
2020-10-08,0.0033445253806305432
2020-10-09,0.0016597727449685557
2020-10-12,0.002975061499930551
2020-10-13,0.002118989917570612
2020-10-14,0.0032760531917314854
2020-10-15,0.0031465013613265
2020-10-16,0.002714187063287568
